Doc. Type1,Author Type2,Organisation3,Code,N/I,Language,Document title,"Size
 (characters)",Year,Remarks,Stat.1
PR,SO,BEA,PR_BEA_2019-4,N,E,U.S. International Transactions - Fourth Quarter and Year 2019,12 171,2019,,
PR,SO,BEA,PR_BEA_2020-1,N,E,U.S. International Transactions - First Quarter 2020,8 279,2020,,
PR,SO,BEA,PR_BEA_2020-3,N,E,U.S. International Transactions - Third Quarter 2020,7 735,2020,,
PR,SO,BEA,PR_BEA_bp_2020-2,N,E,U.S. International Transactions, Second Quarter 2020,15 348,2020,,
PR,SO,BEA,PR_BEA_iip_2020-2,N,E,U.S. International Investment Position - Second Quarter 2020,12 704,2020,,
PR,SO,BEA,PR_BEA_iip_2020-2_a,N,E,U.S. International Investment Position - Second Quarter 2020,5 105,2020,,
PR,CB,OeNB,PR_OeNB_2017_3,N,D,Österreichs Zahlungsbilanz 2016,30 141,2017,,
PR,CB,BuBa,PR_BuBa_2015-01,N,D,Zum Leistungsbilanz- und Warenhandelsüberschuss der deutschen Wirtschaft,7 426,2015,,
PR,CB,BuBa,PR_BuBa_2015-03,N,D,Die deutsche Zahlungsbilanz für das Jahr 2014,83 598,2015,,
PR,CB,BuBa,PR_BuBa_2015-03-20,N,D,"Effekte auf den grenzüberschreitenden Vermögenseinkommenssaldo:
Vermögensakkumulation, Portfolioumschichtungen und Renditeveränderungen",22 678,2015,,
PR,CB,BuBa,PR_BuBa_2015-03-20,N,D,Entwicklungen im Waren- und Dienstleistungshandel Deutschlands,23 073,2015,,
PR,CB,BuBa,PR_BuBa_2016-03,N,D,Die deutsche Zahlungsbilanz für das Jahr 2015,70 442,2016,,
PR,CB,BuBa,PR_BuBa_2017-03,N,D,Die deutsche Zahlungsbilanz für das Jahr 2016,62 334,2017,,
PR,CB,BuBa,PR_BuBa_2018-03,N,D,Die deutsche Zahlungsbilanz für das Jahr 2017,72 713,2018,,
PR,CB,BuBa,PR_BuBa_2018-04-DI,N,D,Moderate Ausweitung der Direktinvestitionsbestände im Jahr 2016,5 788,2018,,
PR,CB,BuBa,PR_BuBa_2019-03,N,D,Die deutsche Zahlungsbilanz für das Jahr 2018,87 735,2019,,
PR,CB,BuBa,PR_BuBa_2020-03,N,D,Die deutsche Zahlungsbilanz für das Jahr 2019,82 390,2020,,
PR,CB,BuBa,PR_BuBa_2020-04-DI,N,D,Direktinvestitionsbestände: Verflechtung mit dem Ausland hat 2018 weiter zugenommen,7 313,2020,,
PR,CB,BuBa,PR_BuBa_2020-09-AV,N,D,Das deutsche Auslandsvermögen Ende 2019,9 280,2020,,
PR,CB,BuBa,PR_BuBa_2021_09,N,D,Die deutsche Zahlungsbilanz im Juli 2021 ,4 626,2021,,
PR,CB,BuBa,PR_BuBa_2021_09_AV,N,D,Das deutsche Auslandsvermögen Ende 2020 ,11 758,2021,,
PR,CB,BuBa,PR_BuBa_2021-03,N,D,Die deutsche Zahlungsbilanz für das Jahr 2020,85 438,2021,,
PR,CB,ECB,PR_ECB_2014_2,I,E,Euro area quarterly balance of payments and international investment position (Second quarter of 2014),5 436,2020,,
PR,CB,ECB,PR_ECB_2014_3,I,E,Euro area quarterly balance of payments and international investment position (third quarter of 2014),4 363,2014,,
PR,CB,ECB,PR_ECB_2014_4,I,E,Euro area quarterly balance of payments and international investment position (fourth quarter of 2014),4 275,2014,,
PR,CB,ECB,PR_ECB_2015_1,I,E,Euro area quarterly balance of payments and international investment position (first quarter of 2015),4 640,2015,,
PR,CB,ECB,PR_ECB_2015_2,I,E,Euro area quarterly balance of payments and international investment position (second quarter of 2015),7 734,2015,,
PR,CB,ECB,PR_ECB_2015_3,I,E,Euro area quarterly balance of payments and international investment position (third quarter of 2015),5 435,2015,,
PR,CB,ECB,PR_ECB_2015_4,I,E,Euro area quarterly balance of payments and international investment position (fourth quarter of 2015),8 301,2015,,
PR,CB,ECB,PR_ECB_2016_1,I,E,Euro area quarterly balance of payments and international investment position (first quarter of 2016),5 610,2016,,
PR,CB,ECB,PR_ECB_2016_2,I,E,Euro area quarterly balance of payments and international investment position (second quarter of 2016),8 392,2016,,
PR,CB,ECB,PR_ECB_2016_3,I,E,Euro area quarterly balance of payments and international investment position (third quarter of 2016),5 461,2016,,
PR,CB,ECB,PR_ECB_2016_4,I,E,Euro area quarterly balance of payments and international investment position (fourth quarter of 2016),9 096,2016,,
PR,CB,ECB,PR_ECB_2017_1,I,E,Euro area quarterly balance of payments and international investment position (first quarter of 2017),5 247,2017,,
PR,CB,ECB,PR_ECB_2017_2,I,E,Euro area quarterly balance of payments and international investment position (second quarter of 2017),8 099,2017,,
PR,CB,ECB,PR_ECB_2017_3,I,E,Euro area quarterly balance of payments and international investment position (third quarter of 2017),5 369,2017,,
PR,CB,ECB,PR_ECB_2017_4,I,E,Euro area quarterly balance of payments and international investment position (fourth quarter of 2017),8 033,2017,,
PR,CB,ECB,PR_ECB_2018_1,I,E,Euro area quarterly balance of payments and international investment position (first quarter of 2018),5 699,2018,,
PR,CB,ECB,PR_ECB_2018_2,I,E,Euro area quarterly balance of payments and international investment position: second quarter of 2018,8 328,2018,,
PR,CB,ECB,PR_ECB_2018_3,I,E,Euro area quarterly balance of payments and international investment position: third quarter of 2018,8 442,2018,,
PR,CB,ECB,PR_ECB_2018_4,I,E,Euro area quarterly balance of payments and international investment position: fourth quarter of 2018,10 149,2018,,
PR,CB,ECB,PR_ECB_2019_1,I,E,Euro area quarterly balance of payments and international investment position: first quarter of 2019,8 442,2019,,
PR,CB,ECB,PR_ECB_2019_2,I,E,Euro area quarterly balance of payments and international investment position: second quarter of 2019,8 435,2019,,
PR,CB,ECB,PR_ECB_2019_3,I,E,Euro area quarterly balance of payments and international investment position: third quarter of 2019,8 582,2019,,
PR,CB,ECB,PR_ECB_2019_4,I,E,Euro area quarterly balance of payments and international investment position: fourth quarter of 2019,10 714,2019,,
PR,CB,ECB,PR_ECB_2020_1,I,E,Euro area quarterly balance of payments and international investment position: first quarter of 2020,8 863,2020,,
PR,CB,ECB,PR_ECB_2020_2,I,E,Euro area quarterly balance of payments and international investment position: second quarter of 2020,9 156,2020,,
PR,CB,ECB,PR_ECB_2020_3,I,E,Euro area quarterly balance of payments and international investment position: third quarter of 2020,8 423,2020,,
PR,CB,ECB,PR_ECB_2021_1,I,E,Euro area quarterly balance of payments and international investment position: first quarter of 2021,8 516,2021,,
PR,CB,ECB,PR_ECB_2021_2,I,E,Euro area quarterly balance of payments and international investment position: second quarter of 2021,8 874,2021,,
PR,CB,ECB,PR_ECB_2021_3,I,E,Euro area quarterly balance of payments and international investment position: third quarter of 2021,8 972,2021,,
PR,CB,ECB,PR_ECB_2021_4,I,E,Euro area quarterly balance of payments and international investment position: fourth quarter of 2021,11 491,2021,,
PR,CB,ECB,PR_ECB_2022_1,I,E,Euro area quarterly balance of payments and international investment position: first quarter of 2022,11 068,2022,,
PR,CB,ECB,PR_ECB_2022_2,I,E,Euro area quarterly balance of payments and international investment position: second quarter of 2022,11 435,2022,,
PR,CB,ECB,PR_ECB_2020_4,I,E,Euro area quarterly balance of payments and international investment position: fourth quarter of 2020,10 818,2022,,
PR,SO,EuS,PR_EuS_2022-01,I,E,Balance of payments statistics - quarterly data (Q4/2021),6 244,2022,,
PR,CB,BuBa,PR_BuBa_2021-03-DI,N,D,Direktinvestitionsbestände im Jahr 2019 erneut gestiegen ,7 412,2021,,
PR,CB,OeNB,PR_OeNB_2018,N,D,Österreichs Außenbeitrag erstmals höher als vor der Finanzkrise,17 714,2018,,
PR,SO,ONS,PR_ONS_2014_3,N,E,Balance of Payments, UK: Quarter 3 (July to Sept) 2014,40 064,2014,,
PR,SO,ONS,PR_ONS_2014_4,N,E,Balance of Payments, UK: Quarter 4 (Oct to Dec) and annual 2014,41 480,2014,,
PR,SO,ONS,PR_ONS_2015_PB,N,E,United Kingdom Balance of Payments: The Pink Book, 2015,95 647,2015,,
PR,SO,ONS,PR_ONS_2015_1,N,E,"Balance of Payments, UK: Quarter 1 (Jan to
Mar) 2015",43 083,2015,,
PR,SO,ONS,PR_ONS_2015_2,N,E,Balance of Payments, UK: Quarter 2 (Apr to June) 2015,48 848,2015,,
PR,SO,ONS,PR_ONS_2015_3,N,E,Balance of Payments, UK: Quarter 3 (July to Sept) 2015,52 761,2015,,
PR,SO,ONS,PR_ONS_2015_4,N,E,Balance of Payments, UK: Quarter 4 (Oct to Dec) and annual 2015,43 160,2015,,
PR,SO,ONS,PR_ONS_2016_1,N,E,Balance of Payments, UK: Quarter 1 (Jan to Mar) 2016,40 434,2016,,
PR,SO,ONS,PR_ONS_2016_2,N,E,Balance of Payments, UK: Quarter 2 (Apr to June) 2016,42 047,2016,,
PR,SO,ONS,PR_ONS_2016_3,N,E,Balance of Payments, UK: Quarter 3 (July to Sept) 2016,49 522,2016,,
PR,SO,ONS,PR_ONS_2016_4,N,E,Balance of Payments, UK: Quarter 4 (Oct to Dec) and annual 2016,22 988,2016,,
PR,SO,ONS,PR_ONS_2016_PB,N,E,UK Balance of Payments, The Pink Book: 2016,38 781,2016,,
PR,SO,ONS,PR_ONS_2017_1,N,E,Balance of payments, UK: Quarter 1 (Jan to Mar) 2017,17 285,2017,,
PR,SO,ONS,PR_ONS_2017_2,N,E,Balance of payments, UK: Quarter 2 (Apr to June) 2017,14 572,2017,,
PR,SO,ONS,PR_ONS_2017_3,N,E,Balance of payments, UK: Quarter 3 (July to Sept) 2017,17 134,2017,,
PR,SO,ONS,PR_ONS_2017_4,N,E,Balance of payments, UK: Quarter 4 (Oct to Dec) 2017,16 552,2017,,
PR,SO,ONS,PR_ONS_2017_PB,N,E,UK Balance of Payments, The Pink Book: 2017,29 434,2017,,
PR,SO,ONS,PR_ONS_2018_1,N,E,Balance of payments, UK: January to March 2018,18 238,2018,,
PR,SO,ONS,PR_ONS_2018_2,N,E,Balance of payments, UK: April to June 2018,17 053,2018,,
PR,SO,ONS,PR_ONS_2018_3,N,E,Balance of payments, UK: July to September 2018,20 737,2018,,
PR,SO,ONS,PR_ONS_2018_4,N,E,Balance of payments, UK: October to December 2018,20 902,2018,,
PR,SO,ONS,PR_ONS_2018_PB,N,E,UK Balance of Payments, The Pink Book: 2018,30 642,2018,,
PR,SO,ONS,PR_ONS_2019_1,N,E,Balance of payments, UK: January to March 2019,20 539,2019,,
PR,SO,ONS,PR_ONS_2019_2,N,E,Balance of payments, UK: April to June 2019,20 166,2019,,
PR,SO,ONS,PR_ONS_2019_3,N,E,Balance of payments, UK: July to September 2019,20 462,2019,,
PR,SO,ONS,PR_ONS_2019_4,N,E,Balance of payments, UK: October to December 2019,22 957,2019,,
PR,SO,ONS,PR_ONS_2019_PB,N,E,UK Balance of Payments, The Pink Book: 2019,32 870,2019,,
PR,SO,ONS,PR_ONS_2020_1,N,E,Balance of payments, UK: January to March 2020,27 550,2020,,
PR,SO,ONS,PR_ONS_2020_2,N,E,Balance of payments, UK: April to June 2020,25 709,2020,,
PR,SO,ONS,PR_ONS_2020_3,N,E,Balance of payments, UK: July to September 2020,14 063,2020,,
PR,SO,ONS,PR_ONS_2020_4,N,E,Balance of payments, UK: October to December 2020,22 029,2020,,
PR,SO,ONS,PR_ONS_2020_PB,N,E,UK Balance of Payments, The Pink Book: 2020,34 478,2020,,
PR,SO,SCan ,PR_SCan_2015-1_e,N,E,Canada's balance of international payments, first quarter 2015,9 555,2015,,
PR,SO,SCan ,PR_SCan_2015-1_f,N,F,Balance des paiements internationaux du Canada, premier trimestre de 2015,12 989,2015,,
PR,SO,SCan ,PR_SCan_2015-1_IIP_e,N,E,Canada's international investment position, first quarter 2015,7 000,2015,,
PR,SO,SCan ,PR_SCan_2015-1_IIP_f,N,F,Bilan des investissements internationaux du Canada, premier trimestre de 2015,8 837,2015,,
PR,SO,SCan ,PR_SCan_2015-2_e,N,E,Canada's balance of international payments, second quarter 2015,9 812,2015,,
PR,SO,SCan ,PR_SCan_2015-2_f,N,F,Balance des paiements internationaux du Canada, deuxième trimestre de 2015,12 964,2015,,
PR,SO,SCan ,PR_SCan_2015-2_IIP_e,N,E,Canada's international investment position, second quarter 2015,7 755,2015,,
PR,SO,SCan ,PR_SCan_2015-2_IIP_f,N,F,Bilan des investissements internationaux du Canada, deuxième trimestre de 2015,9 971,2015,,
PR,SO,SCan ,PR_SCan_2015-3_e,N,E,Canada's balance of international payments, third quarter 2015,9 967,2015,,
PR,SO,SCan ,PR_SCan_2015-3_f,N,F,Balance des paiements internationaux du Canada, troisième trimestre de 2015,13 673,2015,,
PR,SO,SCan ,PR_SCan_2015-3_IIP_e,N,E,Canada's international investment position, third quarter 2015,7 592,2015,,
PR,SO,SCan ,PR_SCan_2015-3_IIP_f,N,F,Bilan des investissements internationaux du Canada, troisième trimestre de 2015,9 630,2015,,
PR,SO,SCan ,PR_SCan_2015-4_e,N,E,Canada's balance of international payments, fourth quarter 2015,9 927,2015,,
PR,SO,SCan ,PR_SCan_2015-4_f,N,F,Balance des paiements internationaux du Canada, quatrième trimestre de 2015,13 342,2015,,
PR,SO,SCan ,PR_SCan_2015-4_IIP_e,N,E,Canada's international investment position, fourth quarter 2015,6 890,2015,,
PR,SO,SCan ,PR_SCan_2015-4_IIP_f,N,F,Bilan des investissements internationaux du Canada, quatrième trimestre de 2015,8 768,2015,,
PR,SO,SCan ,PR_SCan_2016-1_e,N,E,Canada's balance of international payments, first quarter 2016,9 089,2016,,
PR,SO,SCan ,PR_SCan_2016-1_f,N,F,Balance des paiements internationaux du Canada, premier trimestre de 2016,12 283,2016,,
PR,SO,SCan ,PR_SCan_2016-1_IIP_e,N,E,Canada's international investment position, first quarter 2016,5 954,2016,,
PR,SO,SCan ,PR_SCan_2016-1_IIP_f,N,F,Bilan des investissements internationaux du Canada, premier trimestre de 2016,7 394,2016,,
PR,SO,SCan ,PR_SCan_2016-2_e,N,E,Canada's balance of international payments, second quarter 2016,9 024,2016,,
PR,SO,SCan ,PR_SCan_2016-2_f,N,F,Balance des paiements internationaux du Canada, deuxième trimestre de 2016,12 089,2016,,
PR,SO,SCan ,PR_SCan_2016-2_IIP_e,N,E,Canada's international investment position, second quarter 2016,6 149,2016,,
PR,SO,SCan ,PR_SCan_2016-2_IIP_f,N,F,Bilan des investissements internationaux du Canada, deuxième trimestre de 2016,7 060,2016,,
PR,SO,SCan ,PR_SCan_2016-3_e,N,E,Canada's balance of international payments, third quarter 2016,8 934,2016,,
PR,SO,SCan ,PR_SCan_2016-3_f,N,F,Balance des paiements internationaux du Canada, troisième trimestre de 2016,12 589,2016,,
PR,SO,SCan ,PR_SCan_2016-3_IIP_e,N,E,Canada's international investment position, third quarter 2016,5 965,2016,,
PR,SO,SCan ,PR_SCan_2016-3_IIP_f,N,F,Bilan des investissements internationaux du Canada, troisième trimestre de 2016,7 367,2016,,
PR,SO,SCan ,PR_SCan_2016-4_e,N,E,Canada's balance of international payments, fourth quarter 2016,9 840,2016,,
PR,SO,SCan ,PR_SCan_2016-4_f,N,F,Balance des paiements internationaux du Canada, quatrième trimestre de 2016,13 111,2016,,
PR,SO,SCan ,PR_SCan_2016-4_IIP_e,N,E,Canada's international investment position, fourth quarter 2016,6 226,2016,,
PR,SO,SCan ,PR_SCan_2016-4_IIP_f,N,F,Bilan des investissements internationaux du Canada, quatrième trimestre de 2016,7 626,2016,,
PR,SO,SCan ,PR_SCan_2017-1_e,N,E,Canada's balance of international payments, first quarter 2017,9 334,2017,,
PR,SO,SCan ,PR_SCan_2017-1_f,N,F,Balance des paiements internationaux du Canada, premier trimestre de 2017,12 223,2017,,
PR,SO,SCan ,PR_SCan_2017-1_IIP_e,N,E,Canada's international investment position, first quarter 2017,6 722,2017,,
PR,SO,SCan ,PR_SCan_2017-1_IIP_f,N,F,Bilan des investissements internationaux du Canada, premier trimestre de 2017,8 185,2017,,
PR,SO,SCan ,PR_SCan_2017-2_e,N,E,Canada's balance of international payments, second quarter 2017,10 170,2017,,
PR,SO,SCan ,PR_SCan_2017-2_f,N,F,Balance des paiements internationaux du Canada, deuxième trimestre de 2017,13 092,2017,,
PR,SO,SCan ,PR_SCan_2017-2_IIP_e,N,E,Canada's international investment position, second quarter 2017,7 465,2017,,
PR,SO,SCan ,PR_SCan_2017-2_IIP_f,N,F,Bilan des investissements internationaux du Canada, deuxième trimestre de 2017,8 934,2017,,
PR,SO,SCan ,PR_SCan_2017-3_e,N,E,Canada's balance of international payments, third quarter 2017,10 502,2017,,
PR,SO,SCan ,PR_SCan_2017-3_f,N,F,Balance des paiements internationaux du Canada, troisième trimestre de 2017,13 734,2017,,
PR,SO,SCan ,PR_SCan_2017-3_IIP_e,N,E,Canada's international investment position, third quarter 2017,9 368,2017,,
PR,SO,SCan ,PR_SCan_2017-3_IIP_f,N,F,Bilan des investissements internationaux du Canada, troisième trimestre de 2017,11 988,2017,,
PR,SO,SCan ,PR_SCan_2017-4_e,N,E,Canada's balance of international payments, fourth quarter 2017,10 515,2017,,
PR,SO,SCan ,PR_SCan_2017-4_f,N,F,Balance des paiements internationaux du Canada, quatrième trimestre de 2017,14 048,2017,,
PR,SO,SCan ,PR_SCan_2017-4_IIP_e,N,E,Canada's international investment position, fourth quarter 2017,7 808,2017,,
PR,SO,SCan ,PR_SCan_2017-4_IIP_f,N,F,Bilan des investissements internationaux du Canada, quatrième trimestre de 2017,9 604,2017,,
PR,SO,SCan ,PR_SCan_2018-1_e,N,E,Canada's balance of international payments, first quarter 2018,9 724,2018,,
PR,SO,SCan ,PR_SCan_2018-1_f,N,F,Balance des paiements internationaux du Canada, premier trimestre de 2018,12 733,2018,,
PR,SO,SCan ,PR_SCan_2018-1_IIP_e,N,E,Canada's international investment position, first quarter 2018,6 970,2018,,
PR,SO,SCan ,PR_SCan_2018-1_IIP_f,N,F,Bilan des investissements internationaux du Canada, premier trimestre de 2018,9 265,2018,,
PR,SO,SCan ,PR_SCan_2018-2_e,N,E,Canada's balance of international payments, second quarter 2018,10 296,2018,,
PR,SO,SCan ,PR_SCan_2018-2_f,N,F,Balance des paiements internationaux du Canada, deuxième trimestre de 2018,13 439,2018,,
PR,SO,SCan ,PR_SCan_2018-2_IIP_e,N,E,Canada's international investment position, second quarter 2018,7 357,2018,,
PR,SO,SCan ,PR_SCan_2018-2_IIP_f,N,F,Bilan des investissements internationaux du Canada, deuxième trimestre de 2018,9 859,2018,,
PR,SO,SCan ,PR_SCan_2018-3_e,N,E,Canada's balance of international payments, third quarter 2018,10 441,2018,,
PR,SO,SCan ,PR_SCan_2018-3_f,N,F,Balance des paiements internationaux du Canada, troisième trimestre de 2018,14 399,2018,,
PR,SO,SCan ,PR_SCan_2018-3_IIP_e,N,E,Canada's international investment position, third quarter 2018,7 675,2018,,
PR,SO,SCan ,PR_SCan_2018-3_IIP_f,N,F,Bilan des investissements internationaux du Canada, troisième trimestre de 2018,9 914,2018,,
PR,SO,SCan ,PR_SCan_2018-4_e,N,E,Canada's balance of international payments, fourth quarter 2018,10 191,2018,,
PR,SO,SCan ,PR_SCan_2018-4_f,N,F,Balance des paiements internationaux du Canada, quatrième trimestre de 2018,13 578,2018,,
PR,SO,SCan ,PR_SCan_2018-4_IIP_e,N,E,Canada's international investment position, fourth quarter 2018,6 961,2018,,
PR,SO,SCan ,PR_SCan_2018-4_IIP_f,N,F,Bilan des investissements internationaux du Canada, quatrième trimestre de 2018,8 810,2018,,
PR,SO,SCan ,PR_SCan_2019-1_e,N,E,Canada's balance of international payments, first quarter 2019,9 562,2019,,
PR,SO,SCan ,PR_SCan_2019-1_f,N,F,Balance des paiements internationaux du Canada, premier trimestre de 2019,13 005,2019,,
PR,SO,SCan ,PR_SCan_2019-1_IIP_e,N,E,Canada's international investment position, first quarter 2019,6 710,2019,,
PR,SO,SCan ,PR_SCan_2019-1_IIP_f,N,F,Bilan des investissements internationaux du Canada, premier trimestre de 2019,7 800,2019,,
PR,SO,SCan ,PR_SCan_2019-2_e,N,E,Canada's balance of international payments, second quarter 2019,10 156,2019,,
PR,SO,SCan ,PR_SCan_2019-2_f,N,F,Balance des paiements internationaux du Canada, deuxième trimestre de 2019,13 535,2019,,
PR,SO,SCan ,PR_SCan_2019-2_IIP_e,N,E,Canada's international investment position, second quarter 2019,7 017,2019,,
PR,SO,SCan ,PR_SCan_2019-2_IIP_f,N,F,Bilan des investissements internationaux du Canada, deuxième trimestre de 2019,8 354,2019,,
PR,SO,SCan ,PR_SCan_2019-3_e,N,E,Canada's balance of international payments, third quarter 2019,9 642,2019,,
PR,SO,SCan ,PR_SCan_2019-3_f,N,F,Balance des paiements internationaux du Canada, troisième trimestre de 2019,12 445,2019,,
PR,SO,SCan ,PR_SCan_2019-3_IIP_e,N,E,Canada's international investment position, third quarter 2019,8 355,2019,,
PR,SO,SCan ,PR_SCan_2019-3_IIP_f,N,F,Bilan des investissements internationaux du Canada, troisième trimestre de 2019,10 268,2019,,
PR,SO,SCan ,PR_SCan_2019-4_e,N,E,Canada's balance of international payments, fourth quarter 2019,10 119,2019,,
PR,SO,SCan ,PR_SCan_2019-4_f,N,F,Balance des paiements internationaux du Canada, quatrième trimestre de 2019,13 567,2019,,
PR,SO,SCan ,PR_SCan_2019-4_IIP_e,N,E,Canada's international investment position, fourth quarter 2019,8 438,2019,,
PR,SO,SCan ,PR_SCan_2019-4_IIP_f,N,F,Bilan des investissements internationaux du Canada, quatrième trimestre de 2019,10 900,2019,,
PR,SO,SCan ,PR_SCan_2020_FDI_e,N,E,Foreign direct investment, 2019,9 392,2020,,
PR,SO,SCan ,PR_SCan_2020_FDI_f,N,F,Investissement direct étranger, 2019,11 554,2020,,
PR,SO,SCan ,PR_SCan_2020_ITSer_e,N,E,Canada's international trade in services deficit continued to contract in 2019,6 915,2020,,
PR,SO,SCan ,PR_SCan_2020_ITSer_f,N,F,Le déficit du commerce international de services du Canada a continué de diminuer en 2019,9 428,2020,,
PR,SO,SCan ,PR_SCan_2020_MNE_e,N,E,Multinational enterprises exert a significant influence on the Canadian economy, 2018,11 002,2020,,
PR,SO,SCan ,PR_SCan_2020_MNE_f,N,F,Les entreprises multinationales exercent une influence considérable sur l'économie canadienne, 2018,14 424,2020,,
PR,SO,SCan ,PR_SCan_2020-1_e,N,E,Canada's balance of international payments, first quarter 2020,10 223,2020,,
PR,SO,SCan ,PR_SCan_2020-1_f,N,F,Balance des paiements internationaux du Canada, premier trimestre de 2020,13 152,2020,,
PR,SO,SCan ,PR_SCan_2020-1_IIP_e,N,E,Canada's international investment position, first quarter 2020,8 295,2020,,
PR,SO,SCan ,PR_SCan_2020-1_IIP_f,N,F,Bilan des investissements internationaux du Canada, premier trimestre de 2020,10 357,2020,,
PR,SO,SCan ,PR_SCan_2020-2_e,N,E,Canada's balance of international payments, second quarter 2020,11 677,2020,,
PR,SO,SCan ,PR_SCan_2020-2_f,N,F,Balance des paiements internationaux du Canada, deuxième trimestre de 2020,15 534,2020,,
PR,SO,SCan ,PR_SCan_2020-2_IIP_e,N,E,Canada's international investment position, second quarter 2020,7 305,2020,,
PR,SO,SCan ,PR_SCan_2020-2_IIP_f,N,F,Bilan des investissements internationaux du Canada, deuxième trimestre de 2020,8 723,2020,,
PR,SO,SCan ,PR_SCan_2020-3_e,N,E,Canada's balance of international payments, third quarter 2020,12 360,2020,,
PR,SO,SCan ,PR_SCan_2020-3_f,N,F,Balance des paiements internationaux du Canada, troisième trimestre de 2020,16 236,2020,,
PR,SO,SCan ,PR_SCan_2020-3_IIP_e,N,E,Canada's international investment position, third quarter 2020,7 266,2020,,
PR,SO,SCan ,PR_SCan_2020-3_IIP_f,N,F,Bilan des investissements internationaux du Canada, troisième trimestre de 2020,9 309,2020,,
PR,SO,SCan ,PR_SCan_2020-4_e,N,E,Canada's balance of international payments, fourth quarter 2020,13 636,2020,,
PR,SO,SCan ,PR_SCan_2020-4_f,N,F,Balance des paiements internationaux du Canada, quatrième trimestre de 2020,18 220,2020,,
PR,SO,SCan ,PR_SCan_2020-4_IIP_e,N,E,Canada's international investment position, fourth quarter 2020,7 319,2020,,
PR,SO,SCan ,PR_SCan_2020-4_IIP_f,N,F,Bilan des investissements internationaux du Canada, quatrième trimestre de 2020,9 289,2020,,
PR,SO,SCan ,PR_SCan_2021_IMT_e,N,E,Canadian international merchandise trade, January 2021,13 883,2021,,
PR,SO,SCan ,PR_SCan_2021_IMT_f,N,F,Commerce international de marchandises du Canada, janvier 2021,19 665,2021,,
PR,SO,SCan ,PR_SCan_2021_ITSec_e,N,E,Canada's international transactions in securities, January 2021,5 988,2021,,
PR,SO,SCan ,PR_SCan_2021_ITSec_f,N,F,Opérations internationales du Canada en valeurs mobilières, janvier 2021,8 032,2021,,
PR,SO,SCan ,PR_SCan_2021_SS_e,N,E,Securities statistics, fourth quarter 2020,9 784,2021,,
PR,SO,SCan ,PR_SCan_2021_SS_f,N,F,Statistiques sur les titres financiers, quatrième trimestre de 2020,12 281,2021,,
PR,CB,OeNB,PR_OeNB_2019,N,D,Österreichs Zahlungsbilanz im Jahr 2018,39 546,2019,,
PR,CB,SNB,PR_SNB_2015_f,N,F,Balance des paiements et position extérieure de la Suisse 2014,59 103,2015,Translation,
PR,CB,SNB,PR_SNB_2015_d,N,D,Zahlungsbilanz und Auslandvermögen der Schweiz 2014,53 432,2014,,
PR,CB,SNB,PR_SNB_2016_f,N,F,Balance des paiements et position extérieure de la Suisse 2015,63 812,2016,Translation,
PR,CB,SNB,PR_SNB_2016_d,N,D,Zahlungsbilanz und Auslandvermögen der Schweiz 2015,75 538,2015,,
PR,CB,SNB,PR_SNB_2017_f,N,F,Balance des paiements et position extérieure de la Suisse 2016,64 554,2017,Translation,
PR,CB,SNB,PR_SNB_2017_d,N,D,Zahlungsbilanz und Auslandvermögen der Schweiz 2016,76 301,2016,,
PR,CB,SNB,PR_SNB_2018_1_fr,N,F,Balance des paiements et position extérieure de la Suisse - 1er trimestre 2018 ,12 687,2018,Translation,
PR,CB,SNB,PR_SNB_2018_1_de,N,D,Zahlungsbilanz und Auslandvermögen der Schweiz - 1. Quartal 2018 ,12 268,2018,,
PR,CB,SNB,PR_SNB_2018_2_fr,N,F,Balance des paiements et position extérieure de la Suisse - 2e trimestre 2018,13 101,2018,Translation,
PR,CB,SNB,PR_SNB_2018_2_de,N,D,Zahlungsbilanz und Auslandvermögen der Schweiz - 2. Quartal 2018 ,12 840,2018,,
PR,CB,SNB,PR_SNB_2018_3_fr,N,F,Balance des paiements et position extérieure de la Suisse - 3e trimestre 2018,13 223,2018,Translation,
PR,CB,SNB,PR_SNB_2018_3_de,N,D,Zahlungsbilanz und Auslandvermögen der Schweiz - 3. Quartal 2018 ,13 076,2018,,
PR,CB,SNB,PR_SNB_2018_4_fr,N,F,Balance des paiements et position extérieure de la Suisse - Année 2018 et 4e trimestre 2018,16 071,2018,Translation,
PR,CB,SNB,PR_SNB_2018_4_de,N,D,Zahlungsbilanz und Auslandvermögen der Schweiz - Jahr 2018 und 4. Quartal 2018,15 531,2018,,
PR,CB,SNB,PR_SNB_2018_f,N,F,Balance des paiements et position extérieure de la Suisse 2017,62 350,2018,Translation,
PR,CB,SNB,PR_SNB_2018_d,N,D,Zahlungsbilanz und Auslandvermögen der Schweiz 2017,74 556,2017,,
PR,CB,SNB,PR_SNB_2019_1_fr,N,F,Balance des paiements et position extérieure de la Suisse - 1er trimestre 2019 ,12 442,2019,Translation,
PR,CB,SNB,PR_SNB_2019_1_de,N,D,Zahlungsbilanz und Auslandvermögen der Schweiz - 1. Quartal 2019,12 459,2019,,
PR,CB,SNB,PR_SNB_2019_2_fr,N,F,Balance des paiements et position extérieure de la Suisse - 2e trimestre 2019,13 252,2019,Translation,
PR,CB,SNB,PR_SNB_2019_2_de,N,D,Zahlungsbilanz und Auslandvermögen der Schweiz - 2. Quartal 2019,13 017,2019,,
