File,Left Context,Hit,Right Context
RM_BEA_2014.txt,"as the “ equity in additional paid - in capital , ” consist of ( 1 ) capital , invested or contributed , that is ",not included ,"in capital stock ( such as amounts paid for stock in excess of its par or stated value ) , and ( 2 "
RM_BEA_2014.txt,"referred to as the “ parents ’ equity in additional paid - in capital , ” consist of the invested and contributed capital that is ",not included ,"in capital stock , such as cash contributions , the amount paid for stock in excess of its par or stated value , "
RM_UN+al._2010_E.txt,"in travel ) , rentals of time charters without crew ( included in operating leasing ) and rentals or charters that are financial leases ( ",not included ,in EBOPS 2010 ) . 3.97 . Freight services covers the transport of objects . It may be divided into three types of 
RM_UN+al._2010_E.txt,". Financial services exclude : •    Interest earned on deposits , loans , financial leases and debt securities ( this is investment income , ",not included ,in EBOPS ) •    Dividends earned •    Life insurance and pension intermediation services ( included in insurance and pension services ) 
RM_EuS_2021.txt,"only to Eurostat , while data on monthly international reserve assets , monthly revaluations of reserve assets and monthly cross - border shipments of euro ",banknotes included ,in ECB Guideline ECB/2011/23 are to be reported only to the ECB . BOP Vademecum reflects users ' interest on the following data 
RM_EuS_2022.txt,"only to Eurostat , while data on monthly international reserve assets , monthly revaluations of reserve assets and monthly cross - border shipments of euro ",banknotes included ,in ECB Guideline ECB/2011/23 are to be reported only to the ECB . BOP Vademecum reflects users ' interest on the following data 
RM_IMF_2009_e.txt,"of goods and persons . The category includes cargo handling charges billed separately from freight , storage and warehousing , packing and repackaging , towing ",not included ,"in freight services , pilotage and navigational aid for carriers , air traffic control , cleaning performed in ports and airports on transport "
RM_UN+al._2010_E.txt,( such as loading and unloading of containers ) that is billed separately from freight ; storage and warehousing ; packing and repackaging ; towing ,not included ,in freight services ; pilotage and navigational aid for carriers ; air traffic control ; cleaning of transport equipment performed in ports and 
RM_ECB_2016_2.txt,) is already included in b.o.p . and i.i.p . statistics . 2.1.7 Coverage gaps and room for improvement Branding – quasi trading adjustments are ,not included ,"in goods , since the National Institute of Statistics , the traditional source for transaction involving goods does not collect such information . "
RM_IMF_2014_e.txt,goods that enter the customs warehouses ( D1 ) . The last group of flows ( E1 ) relates to direct transit trade that is ,not included ,in goods statistics . 5.12 The red arrows in the figure indicate the possible flows of goods between different zones of economic territory 
RM_IMF_2009_e.txt,"also included . However , the expenditure of locally engaged staff of embassies , military bases , and so forth and international organization staff is ",not included ,in government goods and services n.i.e . ( and is usually a resident - to - resident transaction ) . ( These staff 
RM_UN+al._2010_E.txt,"services n.i.e . However , the expenditure of locally engaged staff of embassies , military bases and so forth , and international organization staff is ",not included ,"in government goods and services n.i.e . 3.275 . The supply of goods and services to foreign diplomats , etc . , located "
PR_BEA_2020_5.txt,"( July 2014 ) . 16 . For instance , the emergency room expenses of a traveler whose primary purpose for travel is hiking are ",not included ,in health - related travel ; these expenses are recorded in other personal travel . 17 . As with average expenditures for the 
RE_EU_2012_e.txt,. 2.4.2.2 . Education - related expenditure is defined as the total expenditure by students . 2.4.2.3 . Other personal travel covers all Personal travel ,not included ,"in Health - related expenditure or Education - related expenditure . 2.5 . Construction Construction covers the creation , renovation , repair , "
RM_IMF_2009_e.txt,"which the sale occurs , equal to the difference between the nominal and the 5 . Implications of treatment of interest 9.34 Any indexation amounts ",not included ,in interest are classified as revaluation . The treatment of interest on index - linked instruments is discussed in more detail in paragraphs 
RM_IMF_2014_e.txt,database or register maintained by authorities or from the books of the creditor / debtor . Implications of treatment of interest 9.97 Any indexation amounts ,not included ,in interest are classified as revaluation . Information may be available from the books of the debtor / creditor . Other Changes in 
RM_ECB_2016_2.txt,residents of the euro area ( denominated in Euros and in other currencies ) and claims in Euros to euro area non - residents are ,not included ,"in international reserve . From 2007 onwards , these transactions / positions are shown in the appropriate categories of the financial account sector "
RM_IMF_2009_e.txt,does not exclude ownership links between enterprises resident in the same economy . Although any transactions and positions between enterprises in the same economy are ,not included ,"in international accounts , it is possible that a direct investor may have a chain of control or influence in which one link "
RM_UN+al._2010_E.txt,of related goods movements 7 General merchandise covers goods whose economic ownership is changed between a resident and a non - resident and that are ,not included ,"in : goods under merchanting ; nonmonetary gold ; and parts of travel , construction , and government goods and services n.i.e . "
RM_IMF_2014_e.txt,"for investment purposes , and other foreign securities and loans . Also , banks should account for any foreign liabilities . If these items are ",not included ,"in an ITRS , data covering transactions in excluded assets and liabilities and corresponding positions should be collected separately and included in balance "
RM_IMF_2009_e.txt,"deposits , on their own account for the purpose of acquiring financial assets by engaging in financial transactions on the market , and that are ",not included ,in another subsector . It is a feature of a financial intermediary that operations for both sides of the balance sheet are carried 
RM_ECB_2016_2.txt,"ii ) a geographical breakdown into EA19 , EU28 and other major countries / markets . Estimates for FISIM are being developed but currently are ",not included ,in b.o.p . data . 2.2.2.3 Primary income Data on compensation of employees are collected though the ITRS . Income on equity is 
PP_SCan_2020-e.txt,financial institution may open a branch in another country in order to provide financial services there . Transactions in services under mode   3 are ,not included ,in Canada ’s international trade in services estimates . The information on mode 3 is rather available through the Activities of Multinational Enterprises 
RM_BEA_2014.txt,"data from Statistics Canada and from Global Trade Information Services , a private data source . 10.45 . An addition is made for nonmonetary gold ",not included ,in Census basis data . This involves gold that is sold by foreign official agencies to private purchasers out of stock held at 
RM_CSO_2018.txt,resident service providers . ( viii ) Exports and imports of computer software which is embedded in hardware or carried on other physical media are ,not included ,in computer services but under merchandise . Sales and purchases of software transmitted electronically as well as exports of certain software licences are 
RM_UN+al._2010_E.txt,in construction may also occur for buildings in an area that is exchanged between economies . The change in ownership of the land component is ,not included ,"in construction . Separate estimates should be made for the structure and land components . 3.146 . Repairs on embassies , bases , "
RM_IMF_2009_e.txt,"other government bodies are treated as miscellaneous current transfers . However , early or late repayment penalties agreed as part of the original contract are ",not included ,"in current transfers ; they should be treated along with the associated good , or service , or income , as appropriate . "
RM_EC+al_2009.txt,products . Separate consideration also must be given to transport related to merchanted goods and goods sent abroad for processing . Table 14.3 . Products ,not included ,"in customs documentation 14.63 In the absence of customs documentation , information must be obtained from surveys and other sources and will typically "
RM_EC+al_2009.txt,are recorded in the secondary distribution of income account as if repaid to the non - life insurance corporation or social insurance schemes and are ,not included ,in disposable income except for the part already committed to meet the service charge associated with the insurance policy or social insurance scheme 
RM_EC+al_2009.txt,government in the SNA ; b. resident workers living in an institutional household ( such as a religious institution or a prison ) are generally ,not included ,in either household surveys or establishment surveys but the workers are included in SNA employment ; c. resident workers under the age limit 
RM_EC+al_2009.txt,adjustments are required to ensure the coverage of employment on an SNA basis is complete : a. conscripted members of the armed forces are generally ,not included ,in establishment surveys and may not be captured in household surveys but conscripts are regarded as being employees of general government in the 
RM_IMF_2009_e.txt,example is goods sent abroad from the home base for use in a construction project not undertaken by a separate entity ; these goods are ,not included ,in exports of general merchandise of the territory of the home base ; ( e ) Goods temporarily exported or imported without a 
RM_ECB_2016_2.txt,Illegal economic activities ( smuggling ) are estimated by national account experts and included in b.o.p . goods item . Some other items that are ,not included ,in FTS ( for example e - commerce and the value of the fuel used by the vessels and aircrafts ) are also 
RM_IMF_2014_e.txt,Some economies that use the special trade system should make coverage adjustments in the balance of payments for goods that cross the border and are ,not included ,in IMTS or goods that do not cross the border but are included in IMTS . The balance of payments compiler should attempt 
RM_EC+al_2009.txt,enough to include this source of income if it exists . Holding gains and losses generated by the investment of the cumulated pension entitlements are ,not included ,in investment income . 17.135 Part of the income distributed to households is used to meet the costs of operating the pension fund 
RM_BEA_2014.txt,not only resident - nonresident transactions as recorded in the ITAs but also those services delivered via physical commercial presence by foreign affiliates that are ,not included ,in ITA statistics . Commercial presence is one of the four modes of supply for services ( mode 3 ) identified in the 
RM_IMF_2014_e.txt,"bank , to an exporter or importer are not included in this category but under loans , earlier . Note that letters of credit are ",not included ,in loans because they are contingent liabilities . Progressive payments ( or stage payments ) on high - value capital goods — such 
PP_ECB_2020.txt,"down by residency of the holder , in most cases based on information relating to the first known purchaser . However , instruments that are ",not included ,"in M3 , such as liabilities on : ( i ) equities ( excluding money market fund shares ) ; and ( ii "
GP_EuS_2020-02.txt,"of goods under merchanting .  When calculating EU aggregate values , the goods item also includes branding – quasi transit trade adjustment , which is ",not included ,"in Member States ' national data .       b. Services , which consists of :               manufacturing services on physical inputs owned by "
RM_EC+al_2009.txt,"administrative forms . 6.41 Because certain kinds of producers try to conceal their activities from public authorities , it does not follow that they are ",not included ,in national accounts in practice . Many countries have had considerable success in compiling estimates of production that cover the non - observed 
PR_BEA_2020_5.txt,"Specifically , OPEC is no longer an available country grouping in ITA tables 1.3 , 2.2 , 2.3 , 3.2 , and 3.3 and is ",not included ,"in new tables 1.4 and 1.5 . BEA has produced statistics on transactions with members of OPEC since the 1970s , but the "
RM_EC+al_2009.txt,The value of withdrawals thus includes any holding gains on the inventories when stored and this ensures that the value of the holding gain is ,not included ,"in output . However , as explained in paragraphs 6.142 to 6.145 when the storage of goods is essentially an extension of the "
RM_IMF_2009_e.txt,consists of only those social insurance pension funds that are institutional units separate from the units that create them . 4.90 Social security schemes are ,not included ,"in pension funds , although they sometimes may have pension entitlement liabilities if they provide pensions to public sector employees . In the "
RM_IMF_2009_e.txt,", such as families supporting relatives who are students or medical patients abroad . Such transactions involve residents of the same economy and are therefore ",not included ,"in personal transfers . The spending of the relative abroad will be included in travel . According to BPM5 , workers ’ remittances "
PP_BEA_2020.txt,"categories and higher - level aggregates that include the suppressed components , less any other unsuppressed components of the higher - level aggregate that are ",not included ,in potentially ICT - enabled services .  Potentially ICT - enabled trade by affiliation Affiliated trade accounted for 52 percent of exports and 
PP_BEA_2014-1.txt,"be an incidental revenue source ; this income is included in the income statement in a separate “ other income ” category , but is ",not included ,"in sales or in this column . 2 . The European Union ( 27 ) comprises Austria , Belgium , Bulgaria , Cyprus "
RM_CSO_2017_its_bn.txt,"from financial services : ( 1 ) Interest earned on deposits , loans , financial leases and debt securities ( this is investment income , ",not included ,in services ) ; ( 2 ) Life insurance and pension intermediation services ; ( 3 ) Other insurance services ; ( 4 
PR_BEA_2014_ar.txt,"the restructured accounts , separate statistics for insurance technical reserves are not yet available . Therefore , separate line items for insurance technical reserves are ",not included ,"in table G. Other investment assets includes lines 46 , 53 , and 54 of ITA table 1 from the previous presentation excluding "
PR_BEA_2017_ar.txt,"and income payments ” were redefined to include receipts and payments , respectively , of secondary income ; previously , transactions in secondary income were ",not included ,in these two aggregates . The redefinitions resulted in revisions for these aggregates that were much larger in 2014 than in typical years.5 
RM_ECB_2016_2.txt,one year are adopted from the CNB foreign credit relations statistics . Item Other investment – Other claims and liabilities includes other claims and liabilities ,not included ,"in trade credits and other financial instruments , among others , prepayments of premiums and reserves for outstanding claims for non - life "
RM_ECB_2016_2.txt,"equity stocks are valued at book value ; listed equity stocks are valued at market value . For portfolio investment , accrued interests are currently ",not included ,in transactions . They will be included by the end of 2016 . 2.1.6 Time of recording Dividends are recorded on the date 
PP_EuS_2017.txt,"in services are total services ( S ) , manufacturing services on physical inputs owned by others ( SA ) , maintenance and repair services ",not included ,"elsewhere ( SB ) , transport ( SC ) , travel ( SD ) , construction services ( SE ) , insurance and "
PP_EuS_2017.txt,"( SE ) , insurance and pension services ( SF ) , financial services ( SG ) , charges for the use of intellectual property ",not included ,"elsewhere ( SH ) , telecommunications , computer and information services ( SI ) , other business services ( SJ ) , personal "
PP_EuS_2017.txt,"SI ) , other business services ( SJ ) , personal , cultural and recreational services ( SK ) , and government goods and services ",not included ,"elsewhere ( SL ) with partners : Total World ( W1 ) , EU28 ( B5 ) , Extra - EU28 ( D5 "
PR_BEA_iip_2020-2.txt,"changes in the yearend position that are disaggregated into financial transactions , price changes , exchange rate changes , and changes in volume and valuation ",not included ,elsewhere ( n.i.e . ) . The U.S. net international investment position is defined as the value of U.S. assets less the value 
PR_BEA_iip_2020-2.txt,"any source besides a financial transaction . Other changes in position include price changes , exchange rate changes , and changes in volume and valuation ",not included ,elsewhere ( n.i.e . ) . Price changes ( only presented for annual statistics in the June news release ) are changes in 
RM_ECB_2016_2.txt,( included in construction ) and labelling and packaging incidental to transport ( included in transport ) are excluded . • Maintenance and repair services ,not included ,elsewhere ( n.i.e . ) covers maintenance and repair work by residents on goods that are owned by non- residents ( and vice 
RM_ECB_2016_2.txt,goods under merchanting and Non - monetary gold ) and Services ( Manufacturing services on physical inputs owned by others and Maintenance and repair services ,not included ,elsewhere ( n.i.e . ) ) . • 2010 – to date – BPM6 aggregates are compiled using detailed input data .  The 
RM_ECB_2016_2.txt,"foreign trade statistics are added to b.o.p . figures , namely : • Net exports of goods under merchanting . • Maintenance and repair services ",not included ,"elsewhere ( n.i.e . ) . • Goods , procured in ports ( imports ) . The BNB reconciles exports and imports of "
RM_UN+al._2010_E.txt,components are : Insurance and pension services . 1 . Manufacturing services on physical inputs owned by others . 2 . Maintenance and repair services ,not included ,elsewhere ( n.i.e . ) . 3 . Transport . 4 . Travel . 5 . Construction . 6 . 7 . Financial 
RM_UN+al._2010_E.txt,. 4 . Travel . 5 . Construction . 6 . 7 . Financial services . 8 . Charges for the use of intellectual property ,not included ,"elsewhere ( n.i.e . ) . 9 . Telecommunications , computer and information services . 10 . Other business services . 11 . "
RM_UN+al._2010_E.txt,"and information services . 10 . Other business services . 11 . Personal , cultural and recreational services . 12 . Government goods and services ",not included ,"elsewhere ( n.i.e . ) . 2.62 . These 12 services components together match the GATS product coverage , with some exceptions . "
RM_UN+al._2010_E.txt,"GATS product coverage , with some exceptions . First , for the most part , many transactions falling under the component government goods and services ",not included ,"elsewhere ( n.i.e . ) are excluded from GATS.24 Second , some transactions regarded as services under GATS are recorded under goods in "
RM_UN+al._2010_E.txt,"those related to merchanting of goods ) ( see chap . III ) . Third , some BPM6 components , especially maintenance and repair services ",not included ,"elsewhere ( n.i.e . ) , travel and construction , include the value of goods included in transactions . Fourth , BPM6 includes "
PP_BEA_2020.txt,and training services were reclassified from maintenance and repair services to other business services ( in the “ other business services n.i.e . ” ( ,not included ,elsewhere ) subcategory ) . - Transactions in end - user rights to audiovisual content and outright sales or purchases of audiovisual originals 
PR_BEA_2014_ar.txt,areas in ITA table 2.2 . Trade in services : Classify services by nine new broad categories : maintenance and repair services n.i.e . ( ,not included ,elsewhere ) ; transport ; travel ( for all purposes including education ) ; insurance services ; financial services ; charges for the 
PR_BEA_2014_ar.txt,"education , or short - term work — into spending by other business and other personal travelers . Maintenance and repair services n.i.e . ( ",not included ,"elsewhere ) , insurance services , financial services , and telecommunications , computer , and information services have been reclassified from other private "
PR_BEA_2015_ar.txt,repair services related to the U.S. Foreign Military Sales program were reclassified within services exports from “ government goods and services n.i.e . ” ( ,not included ,"elsewhere ) to “ maintenance and repair services n.i.e . , ” beginning with statistics for 1999 . ● Private transfers in secondary "
PR_BEA_2020_5.txt,reorganized . Estimates of several types of transactions in intellectual property have been reclassified from charges for the use of intellectual property n.i.e . ( ,not included ,"elsewhere ) to computer services , research and development services , audiovisual services ( in the new major category personal , cultural , "
PR_BEA_2022_2.txt,"stockpiles to Ukraine via the Presidential Drawdown Authority . Previously , these goods were recorded in exports of government goods and services n.i.e . ( ",not included ,"elsewhere ) . These goods are recorded through a new balance - of - payments adjustment , “ military goods transferred through grants "
RM_BEA_2014.txt,"in services . Certain services include the value of goods , such as travel , construction , and government goods and services n.i.e . ( ",not included ,"elsewhere ) . Moreover , some services , particularly manufacturing services , repairs , and freight transport , are closely related to the "
RM_BEA_2014.txt,"are transactor - based for travel , for the construction component of other business services , and for government goods and services n.i.e . ( ",not included ,elsewhere ) . Departures from BPM6 10.56 . The coverage and presentation of services differ in some ways from BPM6 recommendations . One 
RM_BEA_2014.txt,", descriptions of methods apply to both exports and imports . 10.65 . Maintenance and repair services n.i.e . Maintenance and repair services n.i.e ( ",not included ,elsewhere ) covers maintenance and repair services by residents of one country on goods that are owned by residents of another country . 
RM_BEA_2018_dis.txt,ITAs ) . They include twelve broad categories : manufacturing services on physical inputs owned by others2 ; maintenance and repair services n.i.e . ( ,not included ,elsewhere ) ; transport ; travel ( for all purposes including education ) ; construction ; insurance services ; financial services ; charges 
PP_ECB_2020.txt,for investment . 12 Remaining assets ( or remaining liabilities ) are the residual items on the balance sheet comprising assets ( or liabilities ) ,not included ,"elsewhere , which include in particular what the ESA 2010 calls “ other accounts receivable / payable ” ( AF.8 ) , but "
PP_EuS_2019.txt,"annual International Trade in Services the main items are total services , manufacturing services on physical inputs owned by others , maintenance and repair services ",not included ,"elsewhere , transport , travel , construction , insurance and pension services , financial services , charges for the use of intellectual property "
PP_EuS_2019.txt,"not included elsewhere , transport , travel , construction , insurance and pension services , financial services , charges for the use of intellectual property ",not included ,"elsewhere , telecommunications , computer and information services , other business services , personal , cultural and recreational services , and government goods "
PP_EuS_2019.txt,"elsewhere , telecommunications , computer and information services , other business services , personal , cultural and recreational services , and government goods and services ",not included ,"elsewhere , with countrparts rest of the world , EU28 , extra - EU28 , euro area 19 , extra euro area 19 "
RM_ONS_2018.txt,in line with the corresponding total earnings of such dealers reported in statutory returns to supervisory bodies . This component also includes those financial services ,not included ,"elsewhere , including financial service transactions ( exports and imports ) picked up from the ITIS survey , service charges on purchases of "
RE_EU_2012_e.txt,"can be further broken down into goods and services transacted by Embassies and consulates , Military units and agencies and Other government goods and services ",not included ,elsewhere . 3 . PRIMARY INCOME Primary income represents the return that accrues to institutional units for their contribution to the production process 
RM_UN+al._2010_E.txt,"and travel - related services . 10 . Recreational , cultural , and sporting services . 11 . Transport services . 12 . Other services ",not included ,"elsewhere . 2.23 . However , members have tended to avoid any major changes so as to ensure the stability and comparability of "
RM_UN+al._2010_E.txt,consultancy work : both are included in professional and management consulting services . 3.239 . Other includes testing and other product / process development activities ,not included ,"elsewhere . Professional and management consulting services 3.240 . Professional and management consulting services is broken down into two parts : legal , "
RM_BEA_2014.txt,when the two parties ( resident and nonresident ) record a transaction in their respective accounts . Change in volume and valuation n.i.e . ( ,not included ,elsewhere ): Change in the value of an asset or a liability in the IIP accounts from the beginning to the end of 
RM_ECB_2016_2.txt,"the levels of stocks of loans and deposits between resident and non - resident financial intermediaries . Government goods and services , n.i.e . ( ",not included ,elsewhere ): The main data source is the monthly reports of the Ministry of External Affairs and the Ministry of Defence . Estimations 
PP_EuS_2020.txt,( i ) total services ; ( ii ) manufacturing services on physical inputs owned by others ; ( iii ) maintenance and repair services ,not included ,elsewhere ; ( iv ) transport ; ( v ) travel ; ( vi ) construction ; ( vii ) insurance and pension 
PP_EuS_2020.txt,; ( vii ) insurance and pension services ; ( viii ) financial services ; ( ix ) charges for the use of intellectual property ,not included ,"elsewhere ; ( x ) telecommunication , computer and information services ; ( xi ) other business services ; ( xii ) personal "
RE_ECB_2016_e.txt,i r s e r v i c e s n o t i n c l u d e d Maintenance and repair services ,not included ,elsewhere cover maintenance and repair work by residents on goods that are owned by non - residents ( and vice versa ) . 
RE_EU_2012_e.txt,labelling and packaging incidental to transport ( included in Transport ) . 2.2 . Maintenance and repair services not included elsewhere Maintenance and repair services ,not included ,elsewhere cover maintenance and repair work by residents on goods that are owned by non - residents ( and vice versa ) . 
RE_ECB_2016_e.txt,t i n c l u d e d e l s e w h e r e Charges for the use of intellectual property ,not included ,"elsewhere include : ( a ) charges for the use of proprietary rights ( such as patents , trademarks , copy­ rights , "
RE_EU_2012_e.txt,"deposited with , financial corporations . 2.8 . Charges for the use of intellectual property not included elsewhere Charges for the use of intellectual property ",not included ,"elsewhere include : ( a ) Charges for the use of proprietary rights ( such as patents , trademarks , copyrights , industrial "
PP_EuS_2019-02.txt,"no longer reported under goods , but under services . The BPM5 item Repairs on goods has been renamed to "" Maintenance and repair services ",not included ,"elsewhere "" .  "" Transport "" ( renamed from transportation in BPM5 ) now includes postal and courier services ( previously under BPM5 "
GP_EuS_2021-01.txt,"construction services ,          insurance and pension services ,          financial services ,          charges for the use of intellectual property ( like copyrights ) ",not included ,"elsewhere ,          telecommunications , computer and information services ,          other business services ( research and development services , professional and management "
PR_BEA_2022_2.txt,( – ) from financial - account transactions ( line 67 less line 91 plus line 107 ) ⁶ p Preliminary r Revised n.i.e . ,Not included ,"elsewhere 0 Transactions are possible but are zero for a given period . n.a . Transactions are possible , but data are not "
RM_IMF_2014_e.txt,information . The services provided by mobile oil drillings rigs hired with crews should be classified as other business services . Government Goods and Services ,Not Included ,Elsewhere 12.149 The balance of payments treatment and sources for information on the three main types of transactions recorded in this item are 
RM_ECB_2016_2.txt,data are calculated by SORS on quarterly basis . Adjustment for monthly basis and country breakdown is done at BS .  Government goods and services ,not included ,elsewhere : this is a residual category covering government transactions ( including those of international organisations ) in goods and services that it 
GP_EuS_2021-01.txt,"services , technical , trade - related , and other business services ) ,          personal , cultural and recreational services ,          government services ",not included ,elsewhere ;          services not allocated . Primary income covers international transactions for :      the compensation of employees ( such as wages 
RM_IMF_2014_e.txt,"associated with the physical movement of goods ( manufacturing services on physical inputs owned by others , and maintenance and repair services n.i.e . [ ",not included ,elsewhere ] ) and the financial account component on trade credit . 3.6 Model form 4 in Appendix 8 can be used for 
RM_IMF_2009_e.txt,) are treated as capital rather than current transfers ( see also paragraph 13.29 ) . Other 12.57 Gifts and donations of a current nature ,not included ,"elsewhere are regarded as current transfers . However , payments of membership dues or subscriptions to market nonprofit organizations serving businesses , such "
RE_EU_2012_e.txt,"when those loans and deposits are provided by , or deposited with , financial corporations . 2.8 . Charges for the use of intellectual property ",not included ,elsewhere Charges for the use of intellectual property not included elsewhere include : ( a ) Charges for the use of proprietary rights 
RM_UN+al._2010_E.txt,on own account 8 . Charges for the use of intellectual property n.i.e . 3.213 . The present section covers intellectual property products that are ,not included ,elsewhere in EBOPS 2010 . Table III.1 provides a listing of intellectual property products and their treatment 3.214 . Charges for the use 
RE_EU_2012_e.txt,construction ( included in Construction ) and labelling and packaging incidental to transport ( included in Transport ) . 2.2 . Maintenance and repair services ,not included ,elsewhere Maintenance and repair services not included elsewhere cover maintenance and repair work by residents on goods that are owned by non - 
PR_BEA_2022_2.txt,) Supplemental detail on insurance transactions : 110 Premiums received 111 Losses paid 112 Premiums paid 113 Losses recovered p Preliminary r Revised n.i.e . ,Not included ,"elsewhere n.a . Transactions are possible , but data are not available . 1 . All travel purposes include 1 ) business travel "
RE_EU_2012_e.txt,"included in Auxiliary insurance services)and transport - related charges , such as agency commissions ( included in Transport ) . 2.10.3.5 . Other business services ",not included ,"elsewhere Other business services include distribution services related to water , steam , gas or other petroleum products , and air- conditioning supply "
RE_EU_2012_e.txt,"( included in Travel ) . 2.11.2.d . Other personal services includes social services , domestic services etc . 2.12 . Government goods and services ",not included ,elsewhere This is a residual category covering government transactions ( including those of international organisations ) in goods and services that it is 
PP_EuS_2020.txt,"( xi ) other business services ; ( xii ) personal , cultural and recreational services ; and ( xiii ) government goods and services ",not included ,"elsewhere with the following counterparts : rest of the world , EU-28 , extra - EU-28 , euro - area 19 , extra "
RM_CSO_2014.txt,account ( the former income account ) ; although the content of both items is identical . “ Charges for the use of intellectual property ,not included ,"elsewhere ” replaces the term “ royalties and licence fees ” in the services account . The term “ personal transfers ” , "
PP_EuS_2017.txt,"investment , portfolio investment , financial derivatives and employee stock options or reserve assets . Where the following classes of financial assets and liabilities are ",not included ,"under direct investment or reserve assets , other investment includes : ( a ) other equity ; ( b ) currency and deposits "
RE_ECB_2016_e.txt,"investment , financial derivatives and employee stock options or reserve assets . To the extent that the following classes of financial assets and liabilities are ",not included ,"under direct investment or reserve assets , other investment includes : ( a ) other equity ; ( b ) currency and deposits "
RE_EU_2012_e.txt,"investment , financial derivatives and employee stock options or reserve assets . To the extent that the following classes of financial assets and liabilities are ",not included ,"under direct investment or reserve assets , other investment includes : ( a ) Other equity ; ( b ) Currency and deposits "
RM_BEA_2014.txt,"investment , reserve assets , and financial derivatives other than reserves . To the extent that the following classes of financial assets and liabilities are ",not included ,"under direct investment or reserve assets , other investment includes : ( 1 ) other equity , ( 2 ) currency and deposits "
RM_ECB_2016_2.txt,"income . Rare cases of other primary income , such as compensation of employees and rents between direct investors and direct investment enterprises , are ",not included ,"under direct investment income . Dividends , withdrawals from income of quasi - corporations and interest can apply for any of the types "
RM_ECB_2016_2.txt,"other than those included in the other functional categories . Therefore , to the extent that the following classes of financial assets and liabilities are ",not included ,"under direct investment or reserve assets , other investment includes : ( a ) other equity ; ( b ) currency and deposits "
RM_IMF_2009_e.txt,", financial derivatives and employee stock options , and reserve assets . To the extent that the following classes of financial assets and liabilities are ",not included ,"under direct investment or reserve assets , other investment includes : ( a ) other equity ; ( b ) currency and deposits "
RM_IMF_2009_e.txt,"income . Rare cases of other primary income , such as compensation of employees and rent between direct investors and direct investment enterprises , are ",not included ,under direct investment income . 11.97 Direct investment relationships are defined in paragraphs 6.8–6.24 . Three types of direct investment relationships and associated 
RM_CSO_2017_its_bn.txt,") computer services and as a conscious CSO departure from the international recommendations , receipts and payments in respect of computer software licence fees are ",not included ,under royalties and licence fees but are instead included under computer services . A further deviation from the international standards is that royalty 
RM_CSO_2018.txt,") computer services and as a conscious CSO departure from the international recommendations , receipts and payments in respect of computer software licence fees are ",not included ,under royalties and licence fees but are instead included under computer services . A further deviation from the international standards is that royalty 
RM_EC+al_2009.txt,"to major natural disasters that occur very infrequently , such as major earthquakes , volcanic eruptions , tidal waves or exceptionally severe hurricanes , are ",not included ,under consumption of fixed capital . There is no reason for such losses to be charged in the production account as costs of 
RM_ECB_2016_2.txt,"equity abroad are exploration expenses for crude oil and natural gas . If one affiliate belongs to the MFI sector , transactions and positions are ",not included ,"under FDI , but recorded as other investment . In addition , transactions ( and related positions ) in securities between affiliates are "
PP_ECB_2020.txt,"3b ) . As mentioned previously , BSI statistics do not record the residency of holders of equity issued by MFIs , so they are ",not included ,under net external assets . MFI equity is included as capital and reserves under the counterpart long - term financial liabilities . However 
RM_ECB_2016_2.txt,"BPM6 standards components , ( i ) the foreign currency - denominated claims ( i.e. claims denominated in any currency other than the euro ) ",not included ,"under official reserve assets , mainly claims on euro area residents held by the Eurosystem and ( ii ) the predetermined net drains "
RM_IMF_2009_e.txt,are not integral to the valuation of reserves assets . Liabilities to residents and liabilities that are both denominated and settled in domestic currency are ,not included ,". 118 CHAPTER7 International Investment Position A. Concepts and Coverage References : 2008 SNA , Chapter 13 , The Balance Sheet . IMF "
RM_ECB_2016_2.txt,"implementation is under the IT development stage .  Residents ’ transactions , related to real estate purchases ( and holiday homes ) abroad , are ",not included ,". 2.1.8 Seasonal adjustment B.o.p . data are not seasonally adjusted . 2.2 Statistical procedures , sources and methods 2.2.1 Overview of data "
PP_BEA_2020.txt,parent group of the supplying U.S. affiliate . Services supplied to members of foreign parent groups that do not own the supplying U.S. affiliate are ,not included ,. 6 . Services supplied to foreign affiliates include only services supplied to foreign affiliates owned by the supplying U.S. affiliate . Services 
RM_ECB_2016_2.txt,refinements can still be implemented ( namely on real estate ) as presently they are estimated based on aggregated data . Illegal activities are still ,not included ,". Finally , for the portfolio investment income credits , the accrual principle is applied , with monthly estimates being derived from monthly "
RM_SCan_2016_csma2_e.txt,presented . However it continued to be more a ‘ set of tables ’ than a complete system since opening and closing balance sheets were ,not included ,". In addition , it still did not contain flow of funds or supply and use accounts and there was little discussion of "
RM_IMF_2009_e.txt,"individuals who are not migrant workers . On the other hand , the earnings of individuals from the provision of services to another economy are ",not included ,. Paragraph 11.13 provides the definition of an employer - employee relationship which clarifies the difference between “ compensation of employees ” and 
PP_SCan_2018-2-e.txt,"regardless of value under the appropriate HS code , but for exports , transactions recorded as a single item valued at less than CA$2,000 are ",not included ,. The differences due to the application of the commodity classification are not a major source of asymmetry .  1.4.2 Exchange rate factor 
PP_BEA_2020.txt,"services trade collection program . Of the services supplied through foreign affiliates to U.S. persons , distributive services in wholesale and retail trade are generally ",not included ,as U.S. imports of services . 14 . International services tables 4.2 and 4.3 present the destination by affiliation breakdown for services supplied 
