Cluster,Rank,Freq,Range,NormFreq,NormRange,BOP TERM,Add. TERM,TERM inferred (extended/shrinked cluster or own knowledge),Further remark,,
supply of goods,482,13,6,0.000,0.020,n,,,,,
supply of services,429,110,7,0.004,0.024,n,,,,,
term to maturity,557,18,5,0.001,0.017,n,,,,,
coverage of spes,482,34,6,0.001,0.020,n,,,,,
data on imports,482,13,6,0.000,0.020,n,,,,,
delivery of gold,482,10,6,0.000,0.020,n,,,,,
department of homeland,482,12,6,0.000,0.020,n,,,,,
disposal of assets,482,12,6,0.000,0.020,n,,,,,
earnings of investment,482,14,6,0.001,0.020,n,,,,,
enterprises in canada,482,10,6,0.000,0.020,n,,,,,
expenditure on goods,482,10,6,0.000,0.020,n,,,,,
form of dividends,482,11,6,0.000,0.020,n,,,,,
functions of government,482,22,6,0.001,0.020,n,,,,,
goods except food,482,15,6,0.001,0.020,n,,,,,
territory of residence,557,19,5,0.001,0.017,y,,,"See ""economic territory"" and ""economy of residence""",,
government of canada,482,11,6,0.000,0.020,n,,,,,
group on external,482,10,6,0.000,0.020,n,,,,,
income of corporations,482,11,6,0.000,0.020,n,,,,,
trade in goods,2,989,163,0.036,0.549,n,,,,,
introduction of bpm6,482,13,6,0.000,0.020,n,,,,,
inventories of goods,482,16,6,0.001,0.020,N,,,,,
length of time,482,15,6,0.001,0.020,n,,,,,
level of government,482,30,6,0.001,0.020,n,,,,,
millions of dollars,482,30,6,0.001,0.020,n,,,,,
number of ways,482,12,6,0.000,0.020,n,,,,,
ownership of assets,482,14,6,0.001,0.020,n,,,,,
payments of compensation,482,13,6,0.000,0.020,n,,,Phraseology,,
payments of interest,482,18,6,0.001,0.020,n,,,Phraseology,,
payments of taxes,482,13,6,0.000,0.020,n,,,Phraseology,,
percentage of trend,482,11,6,0.000,0.020,n,,,,,
period under review,482,12,6,0.000,0.020,n,,,,,
prepayments of premiums,482,14,6,0.001,0.020,n,,,,,
trade in services,3,1197,156,0.044,0.525,n,,,,,
range of factors,482,10,6,0.000,0.020,n,,,,,
residents during visits,482,13,6,0.000,0.020,n,,,,,
revisions to exports,482,11,6,0.000,0.020,n,,,,,
revisions to statistics,482,21,6,0.001,0.020,n,,,,,
transactions in assets,130,29,16,0.001,0.054,n,,Transactions in liabilities ,,,
transactions in currency,275,10,10,0.000,0.034,n,,~ and deposits,,,
transactions in deposits,209,17,12,0.001,0.040,n,,,,,
services by border,482,14,6,0.001,0.020,n,,,,,
sets of accounts,482,16,6,0.001,0.020,n,,,,,
share of exports,482,10,6,0.000,0.020,n,,,,,
share of gdp,482,13,6,0.000,0.020,n,,,,,
structure of deposits,482,11,6,0.000,0.020,n,,,,,
substitutes for deposits,482,17,6,0.001,0.020,n,,,,,
transactions in equity,97,32,19,0.001,0.064,n,,,,,
terms of trade,482,54,6,0.002,0.020,n,,,,,
time to time,482,16,6,0.001,0.020,n,,,,,
transactions in portfolio,482,12,6,0.000,0.020,n,,~ investment,,,
transactions in reserve,482,12,6,0.000,0.020,n,,~ assets,,,
treatment of transactions,482,10,6,0.000,0.020,n,,,,,
type of activity,482,18,6,0.001,0.020,n,,,,,
type of asset,482,37,6,0.001,0.020,n,,,,,
types of investments,482,17,6,0.001,0.020,n,,,,,
units of currency,482,16,6,0.001,0.020,n,,,,,
use of land,482,11,6,0.000,0.020,n,,,,,
valuation of positions,482,12,6,0.000,0.020,n,,,,,
value of earnings,482,10,6,0.000,0.020,n,,,,,
value of equity,482,10,6,0.000,0.020,n,,,,,
a to b,557,12,5,0.000,0.017,n,,,,,
agreement on trade,557,28,5,0.001,0.017,n,,,,,
amount of debt,557,12,5,0.000,0.017,n,,,,,
balance on trade,557,11,5,0.000,0.017,n,,,,,
case of debt,557,13,5,0.000,0.017,n,,,,,
case of portfolio,557,11,5,0.000,0.017,n,,,,,
change in classification,557,12,5,0.000,0.017,n,1,reclassification,,,
change in volume,557,13,5,0.000,0.017,n,1,other changes in volume,,,
transactions in goods,10,129,61,0.005,0.205,n,,,,,
transactions in securities,116,57,17,0.002,0.057,n,,,,,
changes in stocks,557,11,5,0.000,0.017,n,,,,,
changes in value,557,23,5,0.001,0.017,n,,,,,
changes on uk,557,11,5,0.000,0.017,n,,,,,
transactions in services,84,47,20,0.002,0.067,n,,,,,
transfer of ownership,376,16,8,0.001,0.027,n,,,,,
transfers between households,320,18,9,0.001,0.030,n,,,"current transfers between households;
capital transfers between households",,
department of defense,557,11,5,0.000,0.017,n,,,,,
detail in chapter,557,17,5,0.001,0.017,n,,,,,
disclosure of data,557,12,5,0.000,0.017,n,,,,,
expenditures by border,557,27,5,0.001,0.017,n,,,,,
exports of fisim,557,11,5,0.000,0.017,n,,,,,
exports to canada,557,14,5,0.001,0.017,n,,,,,
generation of income,557,86,5,0.003,0.017,n,,,SNA account,,
group of persons,557,12,5,0.000,0.017,n,,,,,
groups of persons,557,11,5,0.000,0.017,n,1,corporation,,,
holdings of foreign,557,11,5,0.000,0.017,n,,,,,
impact of changes,557,10,5,0.000,0.017,n,,,,,
increase in value,557,40,5,0.001,0.017,n,,,,,
increases in u.s.,557,10,5,0.000,0.017,n,,,,,
institutions of liabilities,557,17,5,0.001,0.017,n,,,,,
transfers in cash,130,44,16,0.002,0.054,n,,,,,
majority of uk,557,10,5,0.000,0.017,n,,,,,
number of shares,557,13,5,0.000,0.017,n,,,,,
number of travelers,557,22,5,0.001,0.017,n,,,,,
number of units,557,18,5,0.001,0.017,n,,,,,
number of years,557,11,5,0.000,0.017,n,,,,,
omissions in reference,557,10,5,0.000,0.017,n,,,,,
operations of u.s.,557,18,5,0.001,0.017,n,,,,,
part of government,557,17,5,0.001,0.017,n,,,,,
payment of interest,557,13,5,0.000,0.017,n,,,Phraseology,,
payments for services,557,24,5,0.001,0.017,n,,,Phraseology,,
payments of cash,557,10,5,0.000,0.017,n,,,,,
periods of time,557,22,5,0.001,0.017,n,,,,,
place of work,557,11,5,0.000,0.017,n,,,,,
price of oil,557,15,5,0.001,0.017,n,,,,,
range of goods,557,13,5,0.000,0.017,n,,,,,
recording of flows,557,14,5,0.001,0.017,n,,,,,
report on balance,557,18,5,0.001,0.017,n,,,,,
reports by financial,557,18,5,0.001,0.017,n,,,,,
return for uk,557,10,5,0.000,0.017,n,,,,,
sequence of accounts,557,95,5,0.003,0.017,n,,,,,
services by mode,557,28,5,0.001,0.017,n,,,,,
services to goods,557,17,5,0.001,0.017,n,,,,,
services to households,557,15,5,0.001,0.017,n,2,NPISHs | nonprofit institutions serving households,,,
share of u.s.,557,10,5,0.000,0.017,n,,,,,
size of errors,557,21,5,0.001,0.017,n,,,,,
stock of knowledge,557,13,5,0.000,0.017,n,,,,,
summary of revisions,557,10,5,0.000,0.017,n,,,,,
survey of foreign,557,31,5,0.001,0.017,n,,,,,
survey of u.s.,557,33,5,0.001,0.017,n,,,,,
transfers in kind,557,137,5,0.005,0.017,n,,,,,
transfers of ownership,45,30,28,0.001,0.094,n,,,,,
trade in information,557,10,5,0.000,0.017,n,,,,,
trade in value,557,10,5,0.000,0.017,n,,,,,
transactions in loans,557,11,5,0.000,0.017,n,1,loan,,,
transactions in remittances,557,11,5,0.000,0.017,n,1,remittance,,,
transactions in u.s.,557,17,5,0.001,0.017,n,,,,,
unit of account,320,47,9,0.002,0.030,n,,,,,
type of entity,557,11,5,0.000,0.017,n,,,,,
types of activities,557,12,5,0.000,0.017,n,,,,,
units for ownership,557,14,5,0.001,0.017,n,,,,,
use of goods,557,12,5,0.000,0.017,n,,,,,
use of income,557,62,5,0.002,0.017,n,,,,,
valuation of imports,557,10,5,0.000,0.017,n,,,,,
value of insurance,557,12,5,0.000,0.017,n,,,,,
value of output,557,57,5,0.002,0.017,n,,,,,
values of goods,557,17,5,0.001,0.017,n,,,,,
withdrawals of equity,557,11,5,0.000,0.017,n,,,,,
withdrawals of income,557,14,5,0.001,0.017,n,,,,,
years of data,557,35,5,0.001,0.017,n,,,,,
